,names,scores,logfoldchanges,pvals,pvals_adj
27,ADT.CD319,2.4513962,0.47479698,0.014230325103757019,0.036174284375905696
28,ADT.CD64,2.206855,0.3534847,0.027324188112604255,0.06577149704980847
29,ADT.CD39,2.1542702,0.36199716,0.031218991612888713,0.07383970190178896
30,ADT.TCR.Vd2,2.148285,0.4715036,0.031691130654834324,0.07431023739754256
31,ADT.CD14,2.0260143,0.34366116,0.04276331463510009,0.09612910397311755
32,"MouseIgG2b,isotypeCtrl",1.9199896,0.30095783,0.054859220815284195,0.11842625445839128
33,ADT.CD96,1.907164,0.16161673,0.05649935921866388,0.11959797224328558
34,ADT.CD11c,1.875955,0.7447314,0.06066145348098066,0.12692242574482107
35,ADT.CD57,1.8605644,0.1656496,0.06280572390681328,0.1294178553231304
36,ADT.B2M,1.7588147,2.0069025,0.07860898166764863,0.15607038696058706
37,ADT.EGFR,1.7216206,0.14329925,0.08513827879001146,0.1666015239631879
38,ADT.LFA1,1.6613404,0.23487258,0.09664511783144696,0.18512304260671528
39,ADT.CD235a,1.6074729,-0.6177224,0.10795067581919685,0.20250057808842442
40,ADT.CD49d,1.5942198,0.69108236,0.11088681983119077,0.2053555104607947
41,ADT.VEGFR3,1.5082884,0.14739235,0.1314807371545992,0.2320740151136531
42,ADT.CD27,1.4663914,0.30980945,0.14254166725258818,0.24578921711194118
43,ADT.Notch3,1.4189368,0.21140696,0.15591743517245835,0.2617872985611646
44,ADT.CD72,1.3937132,0.53602767,0.16340423424674366,0.27101190070191633
45,ADT.CD154,1.3590841,0.21833353,0.17411993704622752,0.286193803010315
46,ADT.GARP,1.2115899,0.19422773,0.22566939313329804,0.35480968168934723
47,ADT.CD141,1.1534473,0.09668535,0.2487268410396385,0.38439602706125947
48,ADT.CD226,1.1448969,0.120305315,0.2522518676613965,0.38681844228722084
49,ADT.CD103,1.1427593,0.20281607,0.2531385394379607,0.38681844228722084
50,ADT.CD40,1.1089853,0.17995413,0.26743653495035247,0.4035588933991515
51,"RatIgG1,IsotypeCtrl",1.1064202,0.16531302,0.2685447047987001,0.4035588933991515
52,ADT.CD20,1.0615306,0.14515388,0.2884488240075982,0.4287326783063754
53,ADT.Siglec10,0.9991128,1.0814168,0.31774005471102684,0.45787298084717587
54,ADT.IgM,0.959781,0.07902063,0.3371654418685166,0.4801518334462645
55,ADT.CD326,0.9431077,0.16501,0.34562579008765715,0.4896365359575143
56,ADT.CD86,0.8995008,0.29613608,0.36838598212770246,0.5112295262180361
57,ADT.CD81,0.85931396,0.3290373,0.3901673269790672,0.5324664660882767
58,ADT.MS4A4A,0.8537562,0.1854709,0.3932400859154652,0.5324664660882767
59,ADT.CD267,0.8460609,0.10669397,0.39751879697448644,0.5326360235323168
60,ADT.CD61,0.8315252,0.2632715,0.4056770008899333,0.5409026678532444
61,ADT.CD196,0.81356937,0.13351542,0.41589168438387525,0.5513272748410852
62,ADT.XCR1,0.80715656,0.09867508,0.4195762716621494,0.5513272748410852
63,ADT.CD140b,0.7998888,0.052860748,0.4237752498598125,0.5541676344320625
64,ADT.CD41,0.79091084,0.068327665,0.42899601394476006,0.5583106018802618
65,ADT.CD360,0.7635496,0.17140812,0.44513568538359793,0.5738242010632163
66,ADT.FCER1A,0.75457174,0.10069826,0.4505060051948141,0.578007704778252
67,ADT.CD155,0.7443112,0.34116593,0.4566882017409897,0.5831886895471793
68,ADT.CD42b,0.739181,0.059073452,0.45979709093437793,0.5835044554585513
69,ADT.CD195,0.7246454,0.117530584,0.4686696297152476,0.5847621068006759
70,ADT.CD337,0.7135298,0.09688409,0.47551795100869687,0.5905976377824911
71,ADT.CD19,0.64769185,0.14412616,0.5171842689629076,0.6308256554166407
72,ADT.CD161,0.58313644,0.051641185,0.5598014577620786,0.6676542439853327
73,ADT.CD335,0.57971627,0.06789957,0.5621059627670631,0.6676542439853327
74,ADT.CD206,0.5532101,0.08770639,0.5801195663741456,0.6860544437120331
75,ADT.CD94,0.54594225,0.014002885,0.585105635348707,0.6873647702132636
76,ADT.TCR.Vg9,0.5442322,0.11424173,0.5862817157701365,0.6873647702132636
77,ADT.Cadherin11,0.5160159,0.08548308,0.6058433094483493,0.7072505586693176
78,ADT.IgGFc,0.5113132,0.030428505,0.609131777956727,0.7080506136932895
79,ADT.CD338,0.47540155,0.028000658,0.6345007889404966,0.7273185195874264
80,ADT.CD254,0.47112635,0.022241514,0.6375505038300922,0.7273185195874264
81,ADT.CD58,0.46086589,0.10412711,0.6448948235911066,0.7308808000699208
82,ADT.CD8,0.40699846,-0.10090135,0.6840091262965786,0.7639025826528791
83,ADT.Podoplanin,0.38433993,-0.05670529,0.7007265215400218,0.7779494443219833
84,ADT.CD35,0.36424652,0.0741366,0.715673937211573,0.7913142720388124
85,ADT.CD26,0.34671822,0.009305803,0.7288030224660655,0.7992822169183919
86,ADT.HLA.F,0.34287053,0.020026864,0.7316958529877925,0.7992822169183919
87,ADT.C5L2,0.31892946,-0.023830907,0.7497800056108122,0.8125106036898043
88,ADT.CD183,0.31208915,0.032312848,0.7549727736574046,0.8148912477571986
89,ADT.Podocalyxin,0.27275735,0.06020301,0.7850397351075227,0.8406724722411266
90,ADT.CD328,0.25864923,0.07917278,0.7959058989215745,0.8489662921830128
91,ADT.CD160,0.24753372,-0.10696878,0.8044951973830229,0.8547761472194618
92,ADT.CD24,0.23043294,-0.014638672,0.8177553625274019,0.8654842747371725
93,ADT.HLA.E,0.19323877,0.013578474,0.846771984605752,0.8858537685106328
94,ADT.CD135,0.17827559,0.07063046,0.8585065545554892,0.8912739803018819
