,Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
1497,GO_Biological_Process_2025,Mitochondrial Translation (GO:0032543),1/94,0.6943081387592873,0.7276571621019616,0,0,0.8488577967785119,0.3096967803311103,GADD45GIP1
1498,GO_Biological_Process_2025,Positive Regulation of Double-Strand Break Repair (GO:2000781),1/94,0.6943081387592873,0.7276571621019616,0,0,0.8488577967785119,0.3096967803311103,ARID1B
1499,GO_Biological_Process_2025,Response to Calcium Ion (GO:0051592),1/95,0.6981473137400052,0.731192953257032,0,0,0.8397846705972828,0.3017557504496263,RASGRP2
1500,GO_Biological_Process_2025,B Cell Activation (GO:0042113),1/96,0.7019384626997109,0.734673767422549,0,0,0.8309025575988164,0.2940643409231153,TOP2B
1501,GO_Biological_Process_2025,"Regulation of mRNA Splicing, via Spliceosome (GO:0048024)",1/97,0.7056821842291002,0.738100340495284,0,0,0.8222054886211513,0.2866128635512868,PRDX5
1502,GO_Biological_Process_2025,Positive Regulation of Supramolecular Fiber Organization (GO:1902905),1/98,0.7093790691443181,0.7409803973575292,0,0,0.8136877406533349,0.2793920880552076,PYCARD
1503,GO_Biological_Process_2025,rRNA Metabolic Process (GO:0016072),1/98,0.7093790691443181,0.7409803973575292,0,0,0.8136877406533349,0.2793920880552076,MYC
1504,GO_Biological_Process_2025,Positive Regulation of Autophagy (GO:0010508),1/99,0.7130297011196407,0.7438045554176331,0,0,0.8053438242766986,0.2723932157658766,LARP1
1505,GO_Biological_Process_2025,Positive Regulation of Protein Catabolic Process (GO:0045732),1/99,0.7130297011196407,0.7438045554176331,0,0,0.8053438242766986,0.2723932157658766,PRKN
1506,GO_Biological_Process_2025,Mitochondrial Gene Expression (GO:0140053),1/100,0.7166346565713615,0.7465736375819687,0,0,0.797168471867267,0.2656078558739149,GADD45GIP1
1507,GO_Biological_Process_2025,Monoatomic Ion Transport (GO:0006811),1/100,0.7166346565713615,0.7465736375819687,0,0,0.797168471867267,0.2656078558739149,TSPO
1508,GO_Biological_Process_2025,Regulation of Intracellular Signal Transduction (GO:1902531),3/302,0.7310618569560764,0.7610988583684534,0,0,0.7901236239556958,0.2475119166016263,PYCARD;HSPB1;SHOC2
1509,GO_Biological_Process_2025,Positive Regulation of NF-kappaB Transcription Factor Activity (GO:0051092),1/105,0.7339939634485214,0.7631399844987604,0,0,0.758649984553599,0.2346159023678124,PYCARD
1510,GO_Biological_Process_2025,Positive Regulation of Protein-Containing Complex Assembly (GO:0031334),1/105,0.7339939634485214,0.7631399844987604,0,0,0.758649984553599,0.2346159023678124,RACK1
1511,GO_Biological_Process_2025,Regulation of Macroautophagy (GO:0016241),1/106,0.7373365693242427,0.7656019500385891,0,0,0.7513864983744502,0.2289555932325619,LARP1
1512,GO_Biological_Process_2025,Steroid Metabolic Process (GO:0008202),1/106,0.7373365693242427,0.7656019500385891,0,0,0.7513864983744502,0.2289555932325619,TSPO
1513,GO_Biological_Process_2025,Cell-Matrix Adhesion (GO:0007160),1/107,0.7406373379468841,0.768014031626769,0,0,0.7442600591043419,0.2234597630355112,PARVG
1514,GO_Biological_Process_2025,Positive Regulation of Cell Growth (GO:0030307),1/107,0.7406373379468841,0.768014031626769,0,0,0.7442600591043419,0.2234597630355112,DNPH1
